"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions","poll_choices"
"894109669869985793","4125840934","Inside Syria MC","Inside_Syria","Syria","Collecting information about the Syrian conflict from ground-level sources.  #InsideSyriaMC #Syria #SyrianArmy #سورية https://t.co/yXzvwpgd3L","https://t.co/x9PTLhaz76","19816","808","2015-11-06","en","en","New Convoy of #SyrianArmy Arrived in #Hama #InsideSyriaMC https://t.co/epSlyp3W71 https://t.co/dpk3ry60Gl","2017-08-06 08:15","WordPress.com","","","","false","","","absent","absent","0","0","0","0","['SyrianArmy', 'Hama', 'InsideSyriaMC']","['http://en.insidesyriamc.com/2017/08/06/new-convoy-of-syrian-army-arrived-in-hama/']","[]",""
"839851611656761344","4125840934","Inside Syria MC","Inside_Syria","Syria","Collecting information about the Syrian conflict from ground-level sources.  #InsideSyriaMC #Syria #SyrianArmy #سورية https://t.co/yXzvwpgd3L","https://t.co/x9PTLhaz76","19816","808","2015-11-06","en","ar","الجيش السوري يتقدم في محيط حلب #سورية_النظر_من_الداخل https://t.co/eZdi1rgG8j https://t.co/l8TlwA3Hdd","2017-03-09 14:53","WordPress.com","","","","false","","","absent","absent","0","0","0","0","['سورية_النظر_من_الداخل']","['http://insidesyriamc.com/2017/03/09/%d8%a7%d9%84%d8%ac%d9%8a%d8%b4-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%8a-%d9%8a%d8%aa%d9%82%d8%af%d9%85-%d9%81%d9%8a-%d9%85%d8%ad%d9%8a%d8%b7-%d8%ad%d9%84%d8%a8']","[]",""
"841662351510249472","4125840934","Inside Syria MC","Inside_Syria","Syria","Collecting information about the Syrian conflict from ground-level sources.  #InsideSyriaMC #Syria #SyrianArmy #سورية https://t.co/yXzvwpgd3L","https://t.co/x9PTLhaz76","19816","808","2015-11-06","en","ar","#الجعفري: نحن حريصون كل الحرص على إنجاح مسار #أستانا 3 #سورية_النظر_من_الداخل https://t.co/vlc02XAI18 https://t.co/cvn5k2fXAQ","2017-03-14 14:48","WordPress.com","","","","false","","","absent","absent","0","0","0","0","['الجعفري', 'أستانا', 'سورية_النظر_من_الداخل']","['http://insidesyriamc.com/2017/03/14/%d8%a7%d9%84%d8%ac%d8%b9%d9%81%d8%b1%d9%8a-%d9%86%d8%ad%d9%86-%d8%ad%d8%b1%d9%8a%d8%b5%d9%88%d9%86-%d9%83%d9%84-%d8%a7%d9%84%d8%ad%d8%b1%d8%b5-%d8%b9%d9%84%d9%89-%d8%a5%d9%86%d8%ac%d8%a7%d8%ad-%d9%85']","[]",""
"820599201495187456","4125840934","Inside Syria MC","Inside_Syria","Syria","Collecting information about the Syrian conflict from ground-level sources.  #InsideSyriaMC #Syria #SyrianArmy #سورية https://t.co/yXzvwpgd3L","https://t.co/x9PTLhaz76","19816","808","2015-11-06","en","en","#Iraq:
More than 30 civilians killed in a U.@CJTFOIR #airstrike in Mosul https://t.co/O7nrDvFc2F","2017-01-15 11:51","Twitter Web Client","","","","false","","","absent","absent","0","0","1","0","['Iraq', 'airstrike']","[]","[2876420003]",""
"549829105483808768","EjLn9BPgSPWKPhEnebvOIWJ2quALQVMNPVfFgGyzG+8=","EjLn9BPgSPWKPhEnebvOIWJ2quALQVMNPVfFgGyzG+8=","EjLn9BPgSPWKPhEnebvOIWJ2quALQVMNPVfFgGyzG+8=","New York, USA","experienced","","129","194","2014-05-30","en","en","Those who truly know me, know that my true paybacks can be hell for the person receiving them. So my advice to you is don't piss m","2014-12-30 07:27","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","","","",""
"548749959605280769","yjxwJBdqQgtGbJIozVTuYw23B+DY557Nz8lZeJ4jsJg=","yjxwJBdqQgtGbJIozVTuYw23B+DY557Nz8lZeJ4jsJg=","yjxwJBdqQgtGbJIozVTuYw23B+DY557Nz8lZeJ4jsJg=","New York","","","60","435","2014-12-24","ro","und","http://t.co/WU6zpuKdjE","2014-12-27 07:59","Twitter for Android","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"578183645946462210","jdDWo9LZY9Ct4F6S6DOlk1pfafF8OHLYc3MedQHYg=","jdDWo9LZY9Ct4F6S6DOlk1pfafF8OHLYc3MedQHYg=","jdDWo9LZY9Ct4F6S6DOlk1pfafF8OHLYc3MedQHYg=","USA","","","107","101","2013-07-26","en","en","do you remember our last summer, dear? ☀️🌊🐬🐚🏄🏊🚵🍒🍇🍉🍓🍑","2015-03-18 13:18","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"639318749779247104","9zeFOFTrAPlPBSFZtfMRsXF0pWWGQ60BaGMPGC2Pvo=","9zeFOFTrAPlPBSFZtfMRsXF0pWWGQ60BaGMPGC2Pvo=","9zeFOFTrAPlPBSFZtfMRsXF0pWWGQ60BaGMPGC2Pvo=","New York, USA","choose - Friendly beer evangelist .","","6","7","2015-03-17","en","en","US gay arriage licsence is refused by Clerk in KKentucky","2015-09-03 06:07","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634556253533020160","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","New York, USA","My fake plants died because I did not pretend to water them","","83","61","2015-03-13","en","en","Former President Jimmy Carter to begin radiation treatment for cancer on brain","2015-08-21 02:42","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634565006185639936","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","EwmQs9LJv3cdU4+wXVa2URfafgyyHGWcSuu6ZGXCLtU=","New York, USA","My fake plants died because I did not pretend to water them","","83","61","2015-03-13","en","en","New trove of purported Ashley Madison data hits the dark Web","2015-08-21 03:17","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"897057686553903104","845488340686139392","SamTheInfidel👩‍💻","SamInfidel","United States","StandUp, SpeakOut, Fight Back & Never Stop Fighting Against Islam! #Infidel4Life👍#StopImportingIslam☪️🕌🌎#IslamIsPureEvil🕋🐍🕋💩#EducateYourselfOnIslam📚🗣☠️","","7524","4500","2017-03-25","en","en","Today's Lesson On Islam: #EducateYourselfOnIslam☪️👎🏿🕋 #StopIslamizationOfAmerica🕋💀 #StopImportingIslam☪️🕋👹💣 #StopMakingExcusesForIslam❌ https://t.co/GbhPmXs4pL","2017-08-14 11:29","Twitter for iPhone","","","","false","","","absent","absent","1","2","13","23","['EducateYourselfOnIslam', 'StopIslamizationOfAmerica', 'StopImportingIslam', 'StopMakingExcusesForIslam']","[]","[]",""
"846188781770190848","845488340686139392","SamTheInfidel👩‍💻","SamInfidel","United States","StandUp, SpeakOut, Fight Back & Never Stop Fighting Against Islam! #Infidel4Life👍#StopImportingIslam☪️🕌🌎#IslamIsPureEvil🕋🐍🕋💩#EducateYourselfOnIslam📚🗣☠️","","7524","4500","2017-03-25","en","und","#SuddenJihadSyndrome #ReligionOfShit #BanTheQuranAsAHATEBOOK #IslamIsCancer #ReligionOfShit #StopImportingJihad #CloseAllMosquesNOW😤😡🕋💩☠️💣👎🤢 https://t.co/gADRvXg6xJ","2017-03-27 02:35","Twitter for iPhone","","","845289993622872064","false","","","absent","absent","0","0","0","1","['SuddenJihadSyndrome', 'ReligionOfShit', 'BanTheQuranAsAHATEBOOK', 'IslamIsCancer', 'ReligionOfShit', 'StopImportingJihad', 'CloseAllMosquesNOW']","['https://twitter.com/cathyto47590555/status/845289993622872064']","[]",""
"686968185514496000","vTHdHFFzN+grXpNrBaCqijpTM4G6AfPoPt410s4Tfts=","vTHdHFFzN+grXpNrBaCqijpTM4G6AfPoPt410s4Tfts=","vTHdHFFzN+grXpNrBaCqijpTM4G6AfPoPt410s4Tfts=","Sankt-Petersburg","","http://t.co/BobxuqOxd7","66","38","2014-09-03","ru","ru","-Тадайма, говорит Вова, -окаэри, говорит Юлиан, вот я в родном бунгало!","2016-01-12 17:49","Twitter for Android","","","","false","","","absent","absent","0","1","2","0","[]","[]","[]",""
"634851903705350144","qA3uBVdVyx2aP6kESYm8Bzo84tQah5L2o4ii1JZ4e4=","qA3uBVdVyx2aP6kESYm8Bzo84tQah5L2o4ii1JZ4e4=","qA3uBVdVyx2aP6kESYm8Bzo84tQah5L2o4ii1JZ4e4=","New York, USA","Be yourself!","","9","97","2015-03-16","en","en","New York prison escapee David Sweat pleads not guilty on breakout","2015-08-21 22:17","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634532229876744192","5pV0hiEhK4LdI9wFDn39o3vq7N3XHS3PcUbpDt9RFs=","5pV0hiEhK4LdI9wFDn39o3vq7N3XHS3PcUbpDt9RFs=","5pV0hiEhK4LdI9wFDn39o3vq7N3XHS3PcUbpDt9RFs=","New York, USA","nnabe beer evangelist .Explorer ... Music fanatic : Award-winning food enthusiast","","93","220","2015-03-10","en","en","Subways Jared Fogle Faces 5 Years Prison Term If He Pleads Guilty To Child ...","2015-08-21 01:07","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"639092269799239680","yEaZI8KUhytCyqNjvlwq83FGmGrvOtwgKaVlP73+R4k=","yEaZI8KUhytCyqNjvlwq83FGmGrvOtwgKaVlP73+R4k=","yEaZI8KUhytCyqNjvlwq83FGmGrvOtwgKaVlP73+R4k=","New York","Amateur alcohol practitioner  - sometimes , here:Social media maven . Award-winning tv lover ... Beeraholic","","119","160","2014-05-29","en","en","Google Inc (NASDAQ:GOOGL) go AJustin for driverless Cars beta test","2015-09-02 15:07","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"662133363348783104","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","United States","Wife, friend, lover of all animals (except spiders). Lists=Block","","1534","92","2013-06-17","en","en","Never forget that #ShaunKingIsWhite . https://t.co/guu7bMAC11","2015-11-05 05:04","Twitter Web Client","","","","false","","","absent","absent","1","0","3","3","['ShaunKingIsWhite']","[]","[]",""
"744707979149185024","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","kQp6uMCZntAbn3U+dLvnhAh9ENxg0TvIzJzkeI4R7n4=","United States","Wife, friend, lover of all animals (except spiders). Lists=Block","","1534","92","2013-06-17","en","en","Why is Carlos Hollins @__TRVPCOCAINE not in prison after making terror threats?

#Orlando

https://t.co/RoAb2EteT5 https://t.co/mN88gozDyA","2016-06-20 01:46","Twitter Web Client","","","","false","","","absent","absent","0","1","1","1","['Orlando']","['http://www.breitbart.com/big-government/2015/09/03/black-lives-matter-supporter-arrested-for-kill-all-the-white-people-tweet/']","[4504835693]",""
"634852449728229377","Y4qKAoYWMZQ4WJZBCylTQz6rqER4WQ1rBX5T87X8Bwg=","Y4qKAoYWMZQ4WJZBCylTQz6rqER4WQ1rBX5T87X8Bwg=","Y4qKAoYWMZQ4WJZBCylTQz6rqER4WQ1rBX5T87X8Bwg=","New York, USA","media fanatic ,  . professional; Professional coffee advocate","","102","164","2015-03-10","en","en","Ashley Madison fallout: blackmail risk","2015-08-21 22:19","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"584085161253281792","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","http://t.co/qlJAXUnjTn","2015-04-03 20:08","Twitter for iPhone","","","","false","","","absent","absent","0","1","0","0","[]","[]","[]",""
"659290532292661248","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw #BanShariaLaw","2015-10-28 08:48","Twitter for iPhone","","","","false","","","absent","absent","0","0","2","2","['BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw', 'BanShariaLaw']","[]","[]",""
"605539068668080128","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#nationalofIslam #muslimsaretheproblem #islamisevil #islamistheproblem #WakeUpAmeirca #CAIR http://t.co/BC2PvetrN8","2015-06-02 00:58","Twitter for iPhone","","","","false","","","absent","absent","0","0","3","5","['nationalofIslam', 'muslimsaretheproblem', 'islamisevil', 'islamistheproblem', 'WakeUpAmeirca', 'CAIR']","[]","[]",""
"652586811089248256","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#FUMoslemscum #moslemsaretheproblem #islamisevil #IslamIsTheProblem #BanIslam #BanShariaLaw #bantheburka http://t.co/BzcS0UIjuj","2015-10-09 20:49","Twitter for iPhone","","","","false","","","absent","absent","0","0","0","0","['FUMoslemscum', 'moslemsaretheproblem', 'islamisevil', 'IslamIsTheProblem', 'BanIslam', 'BanShariaLaw', 'bantheburka']","[]","[]",""
"590374056714571779","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#Obama #ObamaDestroyingAmerica #UN http://t.co/DZSPfDPxha","2015-04-21 04:38","Twitter for iPhone","","","","false","","","absent","absent","0","1","2","3","['Obama', 'ObamaDestroyingAmerica', 'UN']","[]","[]",""
"580430527989182464","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","http://t.co/G4dU5T8Vs7","2015-03-24 18:06","Twitter for iPhone","","","","false","","","absent","absent","0","0","0","1","[]","[]","[]",""
